# Pronunciations for the offline neural voice (KOKORO_G2P_LEXICON).
# Generated by `npm run build:g2p`; do not edit by hand.
# Archaic verb forms and biblical names the voice would otherwise spell
# out letter by letter. Format: word<TAB>IPA
distributeth	dˈɪstɹɪbjˌuːtəθ
disturbest	dɪstˈɜːbᵻst
drankest	dɹˈæŋkᵻst
drawest	dɹˈɔːᵻst
drewest	dɹˈuːᵻst
drieth	dɹˈaɪəθ
drinkest	dɹˈɪŋkᵻst
drippeth	dɹˈɪpəθ
driveth	dɹˈaɪvəθ
droppeth	dɹˈɑːpəθ
dwellest	dwˈɛlᵻst
eatest	ˈiːtᵻst
ebal	ˈiːbæl
ebed	ˈiːbɛd
eber	ˈiːbɜː
eder	ˈiːdɛɹ
edifieth	ˈɛdᵻfˌaɪəθ
edom	ˈiːdʌm
effectest	ɪfˈɛktᵻst
eglaim	ˈfɔːɹɛɡzæmpəllɑɪm
ehi	ˈiːhaɪ
ehud	ˈiːhʌd
elah	ˈiːlɑ
elath	ˈiːlæθ
eleadah	ɛliːˈɐdɑː
elealeh	iːləˈɐlə
eleasah	ɛliːˈɐsɑː
elhanan	ɛlˈhɑːnæn
eliahba	iːˈlaɪɐbɑː
eliathah	iːˈlaɪɐθɑː
eliehoenai	iːlaɪiːˈhoʊiːnaɪ
elienai	ɛlaɪˈiːnɑːaɪ
eliezer	ɛlaɪˈiːzɜː
elihoreph	ɛlaɪˈhoʊɹɛf
elim	ˈiːlɪm
elimelech	iːˈlɪmiːlɛk
eliphelehu	iːˈlɪfiːləhuː
elishua	ɛlaɪˈʃuːɐ
eliu	iːˈlaɪjuː
elizaphan	ɛlaɪˈzɑːfæn
eloth	ˈiːlæθ
eltekon	ˈɛltiːkɑːn
eluzai	iːˈluːzɑːaɪ
elymas	ˈɛlaɪmæs
elzabad	ɛlˈzɑːbæd
embraceth	ɛmbɹˈeɪsəθ
emptieth	ˈɛmptiəθ
enan	ˈiːnæn
encourageth	ɛŋkˈɜːɹɪdʒəθ
encreaseth	ɛŋkɹˈiːsəθ
endeavourest	ɛndˈɛvɚɹᵻst
endureth	ɛndˈʊɹəθ
engageth	ɛŋɡˈeɪdʒəθ
enhanceth	ɛnhˈænsəθ
enlargeth	ɛnlˈɑːɹdʒəθ
enlightenest	ɛnlˈaɪʔn̩ᵻst
enquireth	ɛŋkwˈaɪɚɹəθ
enrichest	ɛnɹˈɪtʃᵻst
entangleth	ɛntˈæŋɡələθ
enterest	ˈɛntɚɹᵻst
enticeth	ɛntˈaɪsəθ
entrest	ɛntɹˈɛᵻst
enviest	ˈɛnviᵻst
envieth	ˈɛnviəθ
epaenetus	ɛpˈiːniːtuːz
ephai	ˈiːfaɪ
ephrain	ˈiːfɹɑɪn
ephrath	ˈɛfɹæθ
ephrathah	ˈɛfɹæθ
eran	ˈiːɹæn
errest	ˈɛɹᵻst
esarhaddon	iːsɑːɹˈhædɔn
esay	ˈiːsɑː
escapeth	ɛskˈeɪpəθ
esli	ˈizlaɪ
establishest	ɪstˈæblɪʃᵻst
esteemest	ɛstˈiːmᵻst
eubulus	juːˈbuːluːz
evi	ˈiːɹoʊmən
exaltest	ɛɡzˈɑːltᵻst
exceedest	ɛksˈiːdᵻst
exciteth	ɛksˈaɪtəθ
execrateth	ˈɛksɪkɹˌeɪtəθ
executeth	ˈɛksᵻkjˌuːtəθ
exerciseth	ˈɛksɚsˌaɪzəθ
expireth	ɛkspˈaɪɚɹəθ
exploreth	ɛksplˈɔːɹəθ
ezel	ˈiːzɛl
ezer	ˈiːzɜː
fallest	fˈɔːlᵻst
faredest	fˈɛɹdᵻst
fastenest	fˈæsənᵻst
favorest	fˈeɪvɚᵻst
favourest	fˈeɪvɚᵻst
fearest	fˈɪɹᵻst
feedest	fˈiːdᵻst
feignest	fˈeɪnᵻst
fenceth	fˈɛnsəθ
fightest	fˈaɪtᵻst
filledest	fˈɪldᵻst
findest	fˈaɪndᵻst
fleddest	flˈɛdᵻst
fleeth	flˈiːəθ
flieth	flˈaɪəθ
forbearest	fˈɔːɹbɛɹᵻst
forbiddeth	fɚbˈɪdəθ
forceth	fˈɔːɹsəθ
foreseeth	fɔːɹsˈiːəθ
forsaketh	fɔːɹsˈeɪkəθ
forsookest	fɔːɹsˈʊkᵻst
fortifiest	fˈɔːɹɾᵻfˌaɪᵻst
fortunatus	fɔːɹtuːˈnɑːtuːz
foundest	fˈaʊndᵻst
freeth	fɹˈiːəθ
frustrateth	fɹʌstɹˈeɪtəθ
gaal	ˈɡɑæl
gaba	ˈɡɑbɑː
gabatha	ˈɡæbɐθɑː
gadderest	ɡˈædɚᵻst
gaddest	ɡˈædᵻst
gai	ˈɡɑaɪ
gatherest	ɡˈæðɚᵻst
gaza	ˈɡɑzɑː
gazest	ɡˈeɪzᵻst
gazzam	ˈɡæzɐm
geba	ˈdʒiːbɑː
gedaliah	dʒɛdɐˈlaɪɐ
gederothaim	dʒɛdiːɹoʊˈθɑːɪm
geliloth	dʒiːˈlaɪlɑːθ
gemalli	dʒiːˈmælaɪ
getest	ɡɛtᵻst
geuel	ˈɡuːɛl
giah	ˈɡiːɐ
giddalti	ɡiːˈdæltaɪ
gideoni	ɡɪdiːˈoʊnaɪ
girdest	ɡˈɜːdᵻst
gittaim	ˈɡɪtɐɪm
glanceth	ɡlˈænsəθ
gloriest	ɡlˈɔːɹiᵻst
glorieth	ɡlˈɔːɹiəθ
glorifiest	ɡlˈɔːɹᵻfˌaɪᵻst
glorifieth	ɡlˈɔːɹᵻfˌaɪəθ
goah	ˈɡoʊɐ
goath	ˈɡoʊɐ
gothoniel	ɡoʊˈðoʊnaɪɛl
grieveth	ɡɹˈiːvəθ
gropeth	ɡɹˈoʊpəθ
gudgodah	ɡʌdˈɡoʊdɑː
guni	ˈɡuːnaɪ
habaiah	hɑːˈbɑːjɐ
hacaliah	hækɐˈlaɪɐ
